Price,Lot.Size,Waterfront,Age,Land.Value,New.Construct,Central.Air,Living.Area,Bedrooms,Fireplaces,Bathrooms,Rooms
132500,.09,0,42,50000,0,0,906,2,1,1,5
90000,.83,0,36,22200,0,0,1632,3,0,1.5,6
122900,1.94,0,4,21200,0,0,1416,3,0,1.5,6
325000,2.29,0,123,12600,0,0,2894,7,0,1,12
120000,.92,0,1,22300,0,0,1624,3,0,2,6
87500,.88,0,17,19400,0,0,1092,3,0,1,6
112000,1,0,12,8600,0,0,1056,3,0,1,6
457000,.43,1,53,2700,0,0,2461,4,1,2,8
130000,1.24,0,51,24800,0,0,1220,2,2,1,5
187000,.46,0,3,15200,0,0,1858,3,1,2.5,7
227000,1.8,0,201,25500,0,0,1876,3,0,2.5,7
150000,.78,0,54,24500,0,1,1554,3,1,1.5,6
108000,.9,0,48,19000,0,0,1042,2,1,2,5
175000,.47,0,15,27200,0,0,1768,3,1,2,6
200640,.08,0,0,32000,1,0,2332,4,0,2.5,8
208767,.5,0,0,32000,1,1,1662,3,0,2,6
93000,.1,0,14,2600,0,0,1480,3,1,1.5,6
216300,.1,0,0,32000,1,0,2360,4,0,2.5,8
115000,.88,0,16,10000,0,1,1560,3,1,1.5,6
117000,.07,0,15,18900,0,0,1676,4,1,1.5,7
101000,.87,0,30,8700,0,0,1056,3,1,2,6
158500,.69,0,6,3400,0,0,1368,3,0,1.5,6
174000,.64,0,9,3000,0,0,2115,4,1,2.5,8
102000,.22,0,10,7300,0,0,1170,2,0,1,5
125000,.34,0,44,19000,0,0,1224,3,0,1,6
180377,.35,0,1,37000,1,0,1820,3,1,2.5,6
163500,.28,0,21,28400,0,1,2202,3,1,2,7
275000,.55,0,14,72000,0,1,2253,3,1,2.5,7
139900,.07,0,13,24500,0,1,1602,2,0,2.5,5
227812,.01,0,0,37200,1,1,2206,4,1,2.5,8
340000,.75,0,12,82500,0,1,2836,4,1,2.5,9
139900,.29,0,15,35200,0,1,1256,2,0,1.5,5
279900,.47,0,6,20000,0,1,2340,4,1,3.5,8
362710,1,0,0,24300,1,1,2963,4,1,2.5,9
247000,.46,0,13,36600,0,1,2114,4,1,3.5,8
120000,.18,0,16,21400,0,1,1144,2,1,1,5
136000,.55,0,33,14900,0,0,988,3,1,1,6
146000,.5,0,35,28000,0,0,1984,3,0,1.5,7
125000,.28,0,16,22000,0,1,1140,2,1,2,5
150000,.15,0,14,21000,0,0,1232,2,1,1.5,5
113000,.17,0,16,15100,0,0,1492,3,0,2.5,6
150000,.77,0,7,30000,0,0,1334,3,0,1.5,6
172700,.34,0,18,27000,0,0,1638,3,1,2,6
188000,.31,0,17,27000,0,0,1561,4,0,1.5,7
107200,.16,0,19,15700,0,0,908,2,0,1,5
208700,.4,0,0,15000,0,0,2458,4,1,2.5,8
108000,.16,0,19,15100,0,0,1032,2,0,1.5,5
135000,.98,0,35,19600,0,0,1320,2,0,1,5
105000,.16,0,17,15700,0,0,912,2,1,1.5,5
101000,.17,0,18,15800,0,0,912,2,0,2,5
205000,.25,0,20,29000,0,0,1992,4,1,3,8
194500,.61,0,41,32300,0,1,2310,4,1,2.5,8
187900,.4,0,32,30000,0,1,2464,5,1,2.5,9
262000,.29,0,5,29000,0,1,2549,4,1,2.5,8
205900,.06,0,26,35900,0,1,1726,3,1,2,6
255000,.46,0,25,60500,0,1,2936,3,1,3.5,8
168500,.44,0,34,31800,0,0,1586,3,1,1.5,6
215000,.5,0,15,37000,0,0,1917,4,1,2.5,8
203600,.59,0,33,31700,0,0,2576,4,1,2.5,9
193000,.4,0,18,25000,0,0,2088,4,1,2.5,8
65000,.22,0,73,6900,0,0,1029,3,0,1,6
195000,.35,0,36,39800,0,1,1896,4,1,2.5,8
123500,.08,0,22,17200,0,1,1237,3,1,1.5,6
295000,.95,0,9,78000,0,0,2380,3,1,2.5,7
225000,.62,0,37,32600,0,0,2521,5,1,2.5,9
255250,.5,0,0,17500,0,0,2099,4,1,2.5,8
130000,.18,0,18,18800,0,0,1480,3,0,1.5,6
153000,.51,0,33,34600,0,1,1926,4,1,1.5,8
196000,.55,0,35,34800,0,1,2208,4,1,2.5,8
132000,.19,0,18,18900,0,1,1142,3,0,1.5,6
167000,.51,0,31,34600,0,0,1611,3,1,1.5,6
412500,.6,0,13,88000,0,1,3896,5,2,4.5,11
270000,.38,0,10,38000,0,1,2774,4,1,2.5,9
224900,.11,0,25,32900,0,0,2208,4,1,2.5,8
89900,.19,0,19,13300,0,0,1080,3,0,1.5,6
166000,.48,0,26,31200,0,0,1508,4,1,1.5,7
162500,.34,0,154,11900,0,0,1600,4,0,1,7
215000,2.96,0,19,11000,0,0,1488,3,0,1.5,6
138000,1,0,19,17600,0,0,1552,3,1,2,6
189900,.33,0,14,11900,0,1,1756,4,0,2,7
159000,.03,0,17,18800,0,0,1514,3,1,1.5,6
139500,.15,0,3,15000,0,1,1366,3,0,1.5,6
20000,.52,0,59,8000,0,0,936,2,0,1,5
234500,2,0,164,40000,0,0,2268,3,0,2.5,7
165000,.38,0,48,21300,0,0,1272,4,1,1.5,7
129900,.24,1,64,1400,0,0,1120,2,0,1,5
292000,.57,0,6,15000,0,0,2815,4,1,2.5,9
185000,.55,0,11,19300,0,1,1336,3,1,2,6
100000,.51,0,28,15000,0,0,1170,3,1,1.5,6
